,call_tx_hash,trade_index,pool,trade_envy,is_used
29,0x8bd6c5dc7450451bb601175c7b45dfee9ab980283d889112434487db7a3aa7f1,-1,,,
30,0x47ffdb349f7e86ca2af5e145cd2d6da45b461ede4e1402bb333d3c12f62d3945,-1,,,
31,0xca6ad3b1487c9db970752dedff9db0335791a20c5d9e0ec1cd265d412b9f994d,-1,,,
32,0x560967b7a8a5c7084a9619fac19aa35c630be8b0ccbb2fd94f6306d2fd615857,-1,,,
33,0xdb8118e162a0561a3f76226a95be5775c7064a3a1e2ace3a0a802d9f892647ad,-1,,,
34,0xaa448747c731faac3242565dd85130bc4625b0fd0f5e8426745e66d3fb72310a,-1,,,
35,0xe2b9906fcb59d9d6d3ee2c11cd5b19fcb21e035dc3d8cf303ff8063a3e8d76da,-1,,,
36,0x3ea8efccd04e7824f05bf4c1eed859087863788e9c7bdd700b8c7da5aa81845c,-1,,,
37,0x600bfff837825a7209c18b822f0c52b0ea2cec67db86e377395750f39d56204c,-1,,,
38,0x06556a68355a98143854e17aefea36d1f9137088d84b1a7ccdea8a50fca526dc,-1,,,
39,0xa277cbeb21ce8f1a3e2894e612755a0b5b8710e811fc920094448772b225536e,-1,,,
40,0x9a0855dc6a6b8aa7efffbf5a978fbfee029b535d5e4fa12d7f209132e5baff48,-1,,,
41,0x38d62daf65b2c0cef6b5639f61962a0bf896761ccd7b2e374c27aeaf6a99fea3,-1,,,
42,0x18b39976197d07bf60fb68811c995b0e8f356e44e328f3784bb3bb581c3b568d,-1,,,
43,0x42f6eae335f790dfced1c37e880d0608324e6823555489990aaab468bbf69dfb,-1,,,
44,0x820815eed304a7ba6cbe4461775883b3519631f3fb0ad17ae4a6103ee72d51aa,-1,,,
45,0x670eab965061864ca593d08fd33c28352b391d4ce58069d9b7bb4a5ce70c3cb5,-1,,,
46,0x723e896f42f8ee73da156d4455e95294af166bae7357989a0368efd9dfc83cf7,-1,,,
47,0xb3a57a6cb5197e24b726c22233c34ffae8bc21eac85368090194cd1493df756b,-1,,,
48,0x59dd5ae45058f18805c273230b0dd6ec13b154ac09cd792375ebac41213dd27c,-1,,,
49,0x54b60362d3a909ae8891202cc581c0c39cea6a5827b2c26484086375b41c0841,-1,,,
50,0x18b0c48991ca907438ba8f775c57a6277e304f8b03aeab433aec51915a8fd97d,-1,,,
51,0x25cef334eae290918af24f5e392b1a50c6ac510b5d9447267915b74b74fdc16b,-1,,,
52,0x4d62011b0380a883b5b6c3629cd6812e2d2d502dde96a5128fb88474242b6fba,-1,,,
53,0x64a9759ec575f19e0a563d955a5572f592cb27aa352748dd4a1ffb3daaf3f382,-1,,,
54,0x70828fb1c600dc8e73d278f1b11b7fc191c41b24925b1be0844709b04d040d59,-1,,,
55,0x17294e0581af3a413d4ae0d5faa4ecb00feadbde5cf9ebee01bfa1eb4fe46b2c,-1,,,
56,0x38ce975fea0a07d84dbb2517429dfc4d9abaccf4d605c44953148abcf2c036fb,-1,,,
57,0x4ff6e0cb5db08e155a80ee6b4497a2e752b1f36b6c54455aae0ee2fa091a0da3,-1,,,
58,0xd610725819122d9711db01722a8d7984e5ef2322e95a4634eb34b2c0290c5b18,-1,,,
59,0x11057724a9f8dc5cd1acde9e71803cda2671f029c1ed4e7d70f418b50025fd82,-1,,,
60,0x7748c7f01a36f872ebc7bfd5b7df22a90672973b281ebc4b18315424fd756fda,-1,,,
61,0xbe53ee1ab99d2c8145cf76ae53a0f813b96f0df62867214918a18dda4e05dc3f,-1,,,
62,0x487930f9ca1dfd78e56ce6ec6c752bda47d356ea2cc9c68841868e7876c0cf49,-1,,,
63,0x7ab91a33fa3d4292e8604889a594829fadd7df996963eb7540093a1b8abbf1f4,-1,,,
64,0x6da69468157ce17afc71b14fec70e81d444a17fb1dbcf893a2c3b12a2066ade3,-1,,,
65,0x69d9ba44173adf6e054a0a3a76036374b086611f4ace525893c4700a60e7ef91,-1,,,
66,0x5cfc411082ca3c1374a2755086d68882b521ed98722a178362c93de7ecaaa086,-1,,,
67,0xc9a3265a238b16f05fda8184f6b2da8f51d0572540a7be92b6962ca463a38964,-1,,,
68,0x72c571112b5362469e1fe087cda49b3be0e7d611f31f1f6ceeafb0f39443ac2c,-1,,,
69,0x5f959e7c63b93e13818023fae18e0493b93cd2611b6b4413bb720c84e1990c76,-1,,,
70,0xe5879d0402c7372effeca04d39b5ecd38cf99e03af5fd89cc940a49cd184f572,-1,,,
71,0xaa43d67d9f88b3a93e957b0dad6ec21830cf37cad7e6aab2f41d4cfb59670925,-1,,,
